order_id,user_id,order_ts,revenue_gross,revenue_net,currency,status
O000026,U0178,2025-12-31T15:10:29Z,190.16,170.32,PLN,paid
O000066,U0086,2026-01-01T02:49:47Z,157.02,146.54,PLN,paid
O000097,U0158,2026-01-01T18:06:23Z,1803.63,1515.67,CZK,paid
O000056,U0159,2026-01-01T23:38:14Z,173.99,162.62,PLN,paid
O000036,U0205,2026-01-02T17:15:33Z,269.82,232.09,GBP,refunded
O000123,U0206,2026-01-03T11:02:27Z,213.68,191.61,PLN,refunded
O000044,U0214,2026-01-03T15:29:07Z,165.89,141.94,PLN,paid
O000186,U0051,2026-01-04T06:04:36Z,89.3,87.43,EUR,paid
O000057,U0038,2026-01-04T09:21:13Z,396.48,383.19,PLN,canceled
O000178,U0069,2026-01-04T09:41:56Z,734.38,698.56,PLN,canceled
O000086,U0054,2026-01-04T16:13:32Z,60.2,56.5,EUR,paid
O000187,U0201,2026-01-04T22:54:25Z,50.54,46.39,GBP,paid
O000019,U0061,2026-01-05T00:37:15Z,173.04,149.21,PLN,paid
O000052,U0194,2026-01-05T09:50:07Z,58.1,53.55,GBP,paid
O000001,U0194,2026-01-06T00:00:26Z,42.15,36.82,GBP,paid
O000005,U0047,2026-01-06T07:30:18Z,160.62,141.35,PLN,refunded
O000084,U0100,2026-01-06T16:18:58Z,332.11,268.82,PLN,paid
O000058,U0134,2026-01-07T00:08:03Z,110.65,89.89,PLN,paid
O000012,U0096,2026-01-09T07:29:50Z,46.53,44.46,EUR,paid
O000179,U0202,2026-01-10T01:37:57Z,84.46,68.26,PLN,paid
O000022,U0012,2026-01-10T01:54:29Z,33.35,31.04,EUR,paid
O000110,U0168,2026-01-10T03:59:40Z,196.42,158.73,PLN,paid
O000114,U0233,2026-01-10T05:47:56Z,34.55,30.1,EUR,paid
O000038,U0160,2026-01-10T06:13:35Z,2142.57,2058.33,CZK,paid
O000145,U0080,2026-01-10T08:44:26Z,151.14,123.17,PLN,paid
O000008,U0206,2026-01-11T02:22:11Z,360.47,317.6,PLN,paid
O000011,U0069,2026-01-11T04:24:09Z,215.64,193.06,PLN,paid
O000127,U0217,2026-01-11T12:56:38Z,133.87,124.75,PLN,paid
O000099,U0184,2026-01-12T16:19:44Z,48.68,42.72,EUR,canceled
O000101,U0120,2026-01-13T09:34:33Z,170.82,143.67,EUR,paid
O000119,U0029,2026-01-13T23:31:16Z,59.21,51.98,GBP,paid
O000073,U0078,2026-01-14T00:05:00Z,269.64,238.01,PLN,paid
O000112,U0249,2026-01-14T02:23:44Z,69.39,66.08,EUR,paid
O000070,U0051,2026-01-15T06:37:59Z,33.71,29.03,EUR,canceled
O000117,U0120,2026-01-15T09:32:32Z,96.53,88.8,EUR,paid
O000107,U0028,2026-01-15T13:09:53Z,57.7,53.29,EUR,paid
O000116,U0233,2026-01-16T00:15:09Z,47.8,43.18,EUR,paid
O000092,U0168,2026-01-16T04:56:57Z,280.06,236.54,PLN,paid
O000152,U0198,2026-01-16T11:33:30Z,170.31,152.57,EUR,paid
O000162,U0118,2026-01-16T20:44:59Z,174.43,157.58,PLN,paid
O000010,U0246,2026-01-16T21:10:46Z,59.01,51.98,EUR,paid
O000128,U0122,2026-01-17T00:17:48Z,78.06,73.55,EUR,paid
O000115,U0104,2026-01-17T05:56:20Z,66.73,62.49,EUR,paid
O000041,U0233,2026-01-17T18:55:23Z,40.97,39.41,EUR,paid
O000042,U0214,2026-01-18T06:29:24Z,304.22,266.49,PLN,paid
O000049,U0198,2026-01-18T07:07:48Z,95.68,83.8,EUR,paid
O000080,U0009,2026-01-19T17:54:14Z,17.61,16.14,GBP,canceled
O000104,U0137,2026-01-19T20:32:20Z,59.25,52.25,EUR,paid
O000147,U0229,2026-01-20T12:23:28Z,62.67,58.21,EUR,paid
O000122,U0029,2026-01-20T19:22:34Z,88.68,83.48,GBP,paid
O000120,U0179,2026-01-20T21:41:14Z,191.76,181.6,EUR,canceled
O000174,U0229,2026-01-21T00:36:44Z,51.4,44.61,EUR,paid
O000108,U0115,2026-01-21T04:11:09Z,59.98,50.03,GBP,refunded
O000075,U0112,2026-01-21T06:53:09Z,278.01,230.64,PLN,paid
O000004,U0116,2026-01-21T08:50:54Z,18.01,17.38,EUR,refunded
O000060,U0041,2026-01-21T14:00:34Z,113.04,104.9,PLN,paid
O000006,U0096,2026-01-21T22:57:08Z,49.95,43.59,EUR,paid
O000018,U0108,2026-01-22T02:05:23Z,1402.32,1290.07,CZK,paid
O000155,U0143,2026-01-22T04:48:41Z,34.73,30.02,EUR,paid
O000031,U0057,2026-01-22T14:15:25Z,399.66,343.94,PLN,paid
O000129,U0009,2026-01-23T02:28:17Z,14.79,14.13,GBP,canceled
O000087,U0039,2026-01-23T04:36:09Z,39.11,37.76,GBP,paid
O000034,U0030,2026-01-23T08:33:49Z,665.72,622.23,PLN,paid
O000166,U0012,2026-01-23T15:06:51Z,53.37,46.74,EUR,paid
O000161,U0054,2026-01-24T00:22:35Z,72.61,62.44,EUR,paid
O000024,U0016,2026-01-24T09:14:21Z,76.07,70.52,PLN,paid
O000048,U0229,2026-01-24T22:26:09Z,51.73,41.85,EUR,refunded
O000020,U0160,2026-01-24T22:56:20Z,1811.59,1693.71,CZK,paid
O000100,U0226,2026-01-25T16:43:36Z,118.49,104.81,PLN,paid
O000032,U0229,2026-01-25T21:16:15Z,173.09,139.23,EUR,canceled
O000054,U0097,2026-01-25T23:46:40Z,57.49,54.3,EUR,canceled
O000138,U0119,2026-01-26T00:26:31Z,46.78,39.73,EUR,paid
O000068,U0175,2026-01-26T10:27:23Z,39.52,38.33,GBP,paid
O000069,U0129,2026-01-26T16:32:22Z,439.23,395.71,PLN,paid
O000143,U0020,2026-01-27T11:35:11Z,73.72,65.66,PLN,paid
O000015,U0109,2026-01-27T21:59:17Z,167.48,157.14,PLN,paid
O000016,U0244,2026-01-28T11:57:32Z,109.47,104.8,PLN,paid
O000103,U0011,2026-01-28T15:16:41Z,196.31,178.97,PLN,paid
O000113,U0194,2026-01-28T17:56:47Z,45.65,38.66,GBP,paid
O000144,U0243,2026-01-28T21:07:18Z,67.0,63.64,EUR,paid
O000053,U0039,2026-01-28T21:23:14Z,63.46,53.38,GBP,paid
O000171,U0116,2026-01-29T01:45:25Z,39.29,34.91,EUR,paid
O000139,U0156,2026-01-29T02:35:53Z,88.5,81.93,PLN,paid
O000035,U0017,2026-01-29T05:01:06Z,255.45,225.24,PLN,paid
O000059,U0236,2026-01-29T05:28:46Z,1559.74,1265.89,CZK,paid
O000156,U0099,2026-01-30T00:36:10Z,212.07,173.53,PLN,canceled
O000183,U0218,2026-01-30T10:20:10Z,1511.91,1394.01,CZK,paid
O000093,U0034,2026-01-30T10:29:52Z,202.48,181.51,EUR,refunded
O000033,U0103,2026-01-31T00:01:44Z,140.73,128.73,PLN,canceled
