session_id,user_id,session_start_ts,source,medium,device
S000584,U0003,2025-06-14T09:32:44Z,google,cpc,mobile
S001024,U0136,2025-06-14T21:02:04Z,tiktok,paid_social,desktop
S001331,U0235,2025-06-14T23:29:45Z,direct,(none),tablet
S002206,U0125,2025-06-15T08:41:59Z,newsletter,email,mobile
S002520,U0089,2025-06-15T22:56:54Z,google,cpc,mobile
S000266,U0249,2025-06-15T23:16:20Z,facebook,social,mobile
S002513,U0158,2025-06-16T04:57:00Z,google,organic,mobile
S001382,U0046,2025-06-16T05:05:28Z,tiktok,paid_social,mobile
S000791,U0101,2025-06-17T02:14:24Z,linkedin,paid_social,desktop
S002454,U0117,2025-06-17T10:24:06Z,newsletter,email,desktop
S001737,U0045,2025-06-18T07:04:41Z,google,organic,mobile
S001374,U0138,2025-06-18T23:26:31Z,referral,referral,desktop
S001904,U0092,2025-06-19T09:12:32Z,affiliate,affiliate,desktop
S001158,U0081,2025-06-19T13:18:17Z,newsletter,email,tablet
S001642,U0072,2025-06-20T15:08:26Z,direct,(none),desktop
S001622,U0037,2025-06-20T17:12:06Z,google,organic,desktop
S001433,U0040,2025-06-21T01:19:09Z,google,organic,mobile
S001457,U0187,2025-06-21T05:54:36Z,direct,(none),mobile
S000475,U0092,2025-06-22T03:50:52Z,google,cpc,desktop
S001856,U0204,2025-06-24T21:58:52Z,google,organic,desktop
S002219,U0249,2025-06-26T06:39:07Z,direct,(none),mobile
S000135,U0239,2025-06-28T02:52:06Z,facebook,paid_social,mobile
S001757,U0092,2025-06-28T22:31:42Z,facebook,paid_social,desktop
S000639,U0084,2025-06-29T19:14:30Z,direct,(none),desktop
S000720,U0180,2025-06-29T20:15:19Z,tiktok,paid_social,desktop
S000510,U0010,2025-06-29T21:25:26Z,facebook,social,mobile
S001303,U0244,2025-06-30T01:53:59Z,google,organic,mobile
S001290,U0215,2025-06-30T10:32:25Z,newsletter,email,desktop
S000066,U0215,2025-06-30T11:57:18Z,google,organic,mobile
S001586,U0239,2025-06-30T16:55:45Z,newsletter,email,mobile
S000546,U0197,2025-07-01T06:34:28Z,direct,(none),desktop
S001991,U0064,2025-07-02T01:57:31Z,google,cpc,desktop
S000011,U0223,2025-07-03T21:05:52Z,newsletter,email,mobile
S002189,U0240,2025-07-04T08:23:14Z,direct,(none),tablet
S000670,U0195,2025-07-04T09:06:20Z,newsletter,email,mobile
S002113,U0032,2025-07-04T23:25:52Z,facebook,paid_social,desktop
S001179,U0211,2025-07-06T18:29:20Z,affiliate,affiliate,mobile
S001647,U0117,2025-07-07T16:44:41Z,newsletter,email,mobile
S001026,U0157,2025-07-07T18:36:47Z,direct,(none),mobile
S001718,U0124,2025-07-07T20:40:09Z,google,organic,tablet
S001719,U0207,2025-07-09T13:32:04Z,direct,(none),mobile
S000402,U0173,2025-07-09T22:06:48Z,tiktok,social,mobile
S000515,U0005,2025-07-10T05:20:03Z,google,cpc,desktop
S001355,U0122,2025-07-10T20:13:19Z,newsletter,email,mobile
S000157,U0154,2025-07-11T00:19:18Z,direct,(none),mobile
S000655,U0151,2025-07-11T02:28:17Z,direct,(none),mobile
S000451,U0014,2025-07-12T07:57:06Z,direct,(none),mobile
S001030,U0173,2025-07-12T13:43:31Z,google,cpc,desktop
S002109,U0221,2025-07-13T00:20:41Z,newsletter,email,mobile
S000128,U0137,2025-07-13T01:39:53Z,affiliate,affiliate,mobile
S000740,U0003,2025-07-13T11:10:23Z,facebook,paid_social,mobile
S001213,U0032,2025-07-15T02:20:36Z,direct,(none),desktop
S000172,U0244,2025-07-15T14:53:44Z,direct,(none),desktop
S001180,U0062,2025-07-16T05:01:26Z,google,organic,mobile
S001912,U0006,2025-07-16T10:45:31Z,newsletter,email,mobile
S002471,U0046,2025-07-16T17:38:01Z,newsletter,email,desktop
S001341,U0075,2025-07-18T05:23:09Z,direct,(none),mobile
S000058,U0204,2025-07-18T08:12:45Z,referral,referral,desktop
S000816,U0062,2025-07-18T15:36:55Z,facebook,paid_social,tablet
S000550,U0003,2025-07-19T16:09:48Z,google,cpc,mobile
S001815,U0240,2025-07-21T20:53:58Z,direct,(none),desktop
S000831,U0006,2025-07-21T22:02:02Z,newsletter,email,mobile
S000905,U0094,2025-07-21T22:58:06Z,direct,(none),mobile
S002495,U0019,2025-07-22T14:29:52Z,google,cpc,desktop
S000183,U0222,2025-07-24T00:20:01Z,facebook,paid_social,desktop
S002564,U0122,2025-07-24T05:35:20Z,bing,cpc,mobile
S001220,U0225,2025-07-24T17:28:09Z,linkedin,social,tablet
S001458,U0049,2025-07-25T22:58:19Z,newsletter,email,desktop
S002483,U0117,2025-07-27T13:56:29Z,facebook,paid_social,tablet
S000268,U0138,2025-07-27T20:28:27Z,facebook,paid_social,desktop
S002588,U0225,2025-07-27T21:08:10Z,facebook,paid_social,mobile
S001080,U0122,2025-07-28T07:02:48Z,google,organic,desktop
S000037,U0221,2025-07-28T10:52:30Z,direct,(none),desktop
S000660,U0118,2025-07-29T10:28:17Z,google,cpc,mobile
S001614,U0143,2025-07-29T19:06:10Z,tiktok,social,mobile
S002481,U0080,2025-07-29T19:10:41Z,newsletter,email,mobile
S000452,U0143,2025-07-30T10:42:47Z,facebook,paid_social,mobile
S002162,U0117,2025-07-31T03:28:32Z,linkedin,paid_social,desktop
S002546,U0120,2025-07-31T11:36:26Z,direct,(none),mobile
S000299,U0084,2025-07-31T16:00:13Z,google,cpc,desktop
S001713,U0005,2025-08-01T02:10:39Z,google,organic,desktop
S002559,U0026,2025-08-01T06:58:24Z,google,cpc,desktop
S001086,U0040,2025-08-02T06:25:27Z,direct,(none),desktop
S000076,U0058,2025-08-02T16:03:28Z,google,organic,desktop
S002213,U0130,2025-08-02T21:56:52Z,facebook,paid_social,mobile
S001107,U0143,2025-08-03T07:07:48Z,direct,(none),desktop
S001526,U0014,2025-08-03T16:54:51Z,tiktok,social,mobile
S000089,U0008,2025-08-03T22:50:17Z,newsletter,email,desktop
S002313,U0239,2025-08-03T23:14:47Z,google,organic,mobile
S001379,U0220,2025-08-04T20:41:46Z,bing,organic,desktop
S002036,U0154,2025-08-04T20:51:06Z,facebook,social,mobile
S000269,U0101,2025-08-05T12:36:52Z,google,organic,tablet
S001090,U0151,2025-08-05T15:06:18Z,google,cpc,desktop
S001141,U0199,2025-08-06T02:18:09Z,direct,(none),mobile
S000821,U0137,2025-08-06T14:39:31Z,affiliate,affiliate,mobile
S000431,U0173,2025-08-07T02:43:23Z,facebook,social,mobile
S001683,U0160,2025-08-07T05:49:56Z,google,organic,mobile
S002414,U0054,2025-08-07T06:32:36Z,direct,(none),tablet
S001688,U0125,2025-08-07T16:36:05Z,direct,(none),mobile
S002314,U0171,2025-08-08T17:23:38Z,google,cpc,desktop
S000193,U0223,2025-08-08T18:37:03Z,bing,cpc,mobile
S000289,U0183,2025-08-09T04:20:25Z,direct,(none),mobile
S000125,U0062,2025-08-10T20:32:12Z,direct,(none),mobile
S000814,U0075,2025-08-11T19:24:49Z,facebook,social,mobile
S000331,U0213,2025-08-12T01:57:47Z,direct,(none),mobile
S001300,U0053,2025-08-12T05:36:19Z,bing,organic,desktop
S002327,U0234,2025-08-12T12:41:40Z,direct,(none),desktop
S001951,U0192,2025-08-12T16:11:42Z,newsletter,email,mobile
S002181,U0040,2025-08-12T19:17:05Z,direct,(none),desktop
S000534,U0205,2025-08-12T23:07:19Z,google,organic,desktop
S000860,U0019,2025-08-13T09:57:21Z,google,organic,mobile
S001755,U0080,2025-08-13T14:36:28Z,google,cpc,tablet
S002070,U0092,2025-08-13T18:36:39Z,direct,(none),desktop
S001716,U0226,2025-08-13T19:57:09Z,google,organic,mobile
S001711,U0040,2025-08-14T00:23:32Z,facebook,paid_social,desktop
S001899,U0195,2025-08-14T03:38:17Z,facebook,paid_social,desktop
S001253,U0120,2025-08-14T05:29:46Z,google,cpc,mobile
S000809,U0070,2025-08-15T04:04:39Z,google,cpc,mobile
S002459,U0133,2025-08-15T08:08:32Z,facebook,social,desktop
S001820,U0074,2025-08-15T17:20:08Z,facebook,paid_social,desktop
S001593,U0133,2025-08-15T19:21:06Z,google,organic,mobile
S000097,U0006,2025-08-15T21:42:24Z,newsletter,email,mobile
S002051,U0049,2025-08-16T04:03:48Z,direct,(none),desktop
S000239,U0130,2025-08-16T23:21:46Z,google,cpc,mobile
S002198,U0037,2025-08-17T15:26:32Z,google,organic,desktop
S000250,U0090,2025-08-17T19:37:53Z,affiliate,affiliate,desktop
S000959,U0166,2025-08-18T16:06:39Z,google,organic,desktop
S001117,U0154,2025-08-19T22:23:18Z,google,organic,desktop
S002413,U0088,2025-08-20T21:55:06Z,google,cpc,desktop
S000496,U0205,2025-08-21T07:57:10Z,direct,(none),desktop
S000458,U0003,2025-08-21T15:28:14Z,google,cpc,desktop
S000377,U0240,2025-08-22T13:31:05Z,google,cpc,desktop
S002449,U0072,2025-08-22T15:52:42Z,google,organic,mobile
S001729,U0176,2025-08-22T18:19:25Z,facebook,paid_social,mobile
S000405,U0220,2025-08-22T19:03:48Z,facebook,paid_social,desktop
S001114,U0180,2025-08-22T20:59:26Z,direct,(none),mobile
S002145,U0024,2025-08-22T23:06:58Z,google,organic,desktop
S000140,U0048,2025-08-23T01:23:38Z,facebook,paid_social,desktop
S002144,U0189,2025-08-24T00:14:55Z,tiktok,paid_social,mobile
S001373,U0199,2025-08-24T01:18:55Z,google,cpc,mobile
S001919,U0124,2025-08-24T11:46:23Z,direct,(none),desktop
S001723,U0176,2025-08-24T17:35:56Z,facebook,paid_social,desktop
S000350,U0235,2025-08-25T02:24:56Z,facebook,social,desktop
S002351,U0114,2025-08-25T06:24:46Z,referral,referral,mobile
S001900,U0081,2025-08-25T11:41:42Z,facebook,paid_social,desktop
S000438,U0118,2025-08-25T14:49:49Z,newsletter,email,desktop
S001368,U0098,2025-08-26T03:46:09Z,direct,(none),desktop
S001612,U0207,2025-08-26T13:13:08Z,direct,(none),mobile
S001412,U0056,2025-08-26T18:40:15Z,facebook,paid_social,desktop
S001809,U0098,2025-08-26T19:18:40Z,google,cpc,desktop
S001405,U0098,2025-08-27T02:44:33Z,tiktok,paid_social,mobile
S002566,U0125,2025-08-27T10:09:34Z,google,organic,mobile
S000647,U0126,2025-08-27T12:53:24Z,google,organic,desktop
S001504,U0079,2025-08-27T15:53:24Z,newsletter,email,mobile
S001752,U0006,2025-08-27T17:35:35Z,direct,(none),mobile
S001638,U0199,2025-08-28T00:48:57Z,direct,(none),mobile
S001436,U0217,2025-08-28T09:51:13Z,google,organic,tablet
S001632,U0088,2025-08-28T15:13:29Z,facebook,paid_social,desktop
S001025,U0005,2025-08-29T01:26:27Z,bing,cpc,desktop
S002589,U0183,2025-08-29T06:52:03Z,direct,(none),desktop
S000591,U0133,2025-08-29T18:23:24Z,google,cpc,desktop
S002236,U0195,2025-08-30T11:29:59Z,newsletter,email,mobile
S001060,U0217,2025-08-30T12:38:32Z,tiktok,paid_social,mobile
S001435,U0129,2025-08-31T01:55:20Z,google,cpc,mobile
S001690,U0089,2025-08-31T06:11:52Z,tiktok,paid_social,tablet
S000630,U0081,2025-08-31T06:47:14Z,google,organic,mobile
S001941,U0053,2025-08-31T17:57:04Z,google,cpc,desktop
S000870,U0064,2025-09-01T08:06:52Z,google,cpc,mobile
S000874,U0139,2025-09-01T13:12:16Z,facebook,paid_social,mobile
S002234,U0139,2025-09-01T17:18:48Z,google,cpc,desktop
S000119,U0058,2025-09-01T23:26:30Z,direct,(none),mobile
S000773,U0138,2025-09-02T05:27:02Z,tiktok,paid_social,tablet
S000798,U0184,2025-09-02T08:52:44Z,tiktok,paid_social,mobile
S000938,U0165,2025-09-02T11:16:02Z,google,cpc,desktop
S001467,U0062,2025-09-03T13:30:35Z,newsletter,email,mobile
S000873,U0126,2025-09-03T23:58:41Z,google,cpc,mobile
S000414,U0167,2025-09-04T04:04:09Z,direct,(none),desktop
S001208,U0008,2025-09-04T21:28:53Z,referral,referral,desktop
S001065,U0171,2025-09-05T01:01:26Z,affiliate,affiliate,desktop
S000075,U0150,2025-09-05T04:29:33Z,google,cpc,mobile
S000093,U0108,2025-09-05T21:33:48Z,facebook,paid_social,desktop
S002599,U0149,2025-09-06T05:45:16Z,google,organic,mobile
S002309,U0185,2025-09-06T06:19:02Z,bing,organic,desktop
S000707,U0056,2025-09-06T10:48:46Z,google,cpc,mobile
S001388,U0051,2025-09-06T11:01:35Z,direct,(none),mobile
S001153,U0156,2025-09-06T12:39:23Z,affiliate,affiliate,mobile
S001871,U0203,2025-09-06T14:03:03Z,tiktok,social,desktop
S002186,U0026,2025-09-06T21:15:02Z,google,organic,desktop
S000384,U0217,2025-09-07T04:15:37Z,facebook,paid_social,desktop
S001152,U0154,2025-09-07T04:41:57Z,direct,(none),desktop
S001120,U0063,2025-09-08T12:14:50Z,google,cpc,mobile
S000985,U0192,2025-09-08T19:50:05Z,tiktok,paid_social,desktop
S000846,U0185,2025-09-08T21:15:27Z,facebook,social,mobile
S000184,U0101,2025-09-08T22:34:40Z,google,cpc,desktop
S002299,U0020,2025-09-09T00:17:15Z,linkedin,paid_social,mobile
S001450,U0222,2025-09-09T03:38:58Z,google,cpc,desktop
S001617,U0088,2025-09-09T04:16:47Z,bing,organic,tablet
S000806,U0150,2025-09-09T12:19:23Z,facebook,paid_social,desktop
S000487,U0192,2025-09-09T16:46:17Z,google,cpc,mobile
S000668,U0195,2025-09-09T22:00:23Z,google,organic,mobile
S000480,U0060,2025-09-10T03:58:35Z,google,cpc,desktop
S002265,U0049,2025-09-10T06:27:55Z,facebook,social,tablet
S001191,U0018,2025-09-10T12:35:27Z,google,organic,desktop
S002016,U0080,2025-09-11T08:42:43Z,bing,cpc,tablet
S002143,U0186,2025-09-11T10:16:40Z,google,cpc,mobile
S002354,U0026,2025-09-11T10:58:04Z,facebook,paid_social,tablet
S000872,U0037,2025-09-13T03:01:50Z,direct,(none),desktop
S002141,U0213,2025-09-13T11:09:53Z,google,cpc,desktop
S001968,U0084,2025-09-13T13:46:46Z,direct,(none),desktop
S000850,U0136,2025-09-13T18:30:06Z,google,cpc,mobile
S000471,U0156,2025-09-13T23:05:33Z,newsletter,email,desktop
S002596,U0226,2025-09-14T10:34:27Z,bing,organic,mobile
S000845,U0062,2025-09-14T12:46:56Z,facebook,social,desktop
S000824,U0243,2025-09-14T13:39:30Z,facebook,paid_social,mobile
S001150,U0235,2025-09-14T15:10:06Z,google,organic,desktop
S000888,U0130,2025-09-14T20:11:21Z,google,cpc,desktop
S000179,U0085,2025-09-15T02:02:43Z,direct,(none),mobile
S002065,U0114,2025-09-15T17:02:15Z,linkedin,social,desktop
S000394,U0167,2025-09-15T18:13:07Z,google,cpc,desktop
S000398,U0019,2025-09-15T20:33:12Z,direct,(none),mobile
S000650,U0240,2025-09-16T04:03:00Z,newsletter,email,mobile
S000030,U0104,2025-09-16T04:15:47Z,facebook,paid_social,mobile
S000607,U0166,2025-09-16T04:52:41Z,google,cpc,mobile
S002514,U0146,2025-09-16T05:07:32Z,direct,(none),mobile
S002498,U0125,2025-09-16T08:46:49Z,affiliate,affiliate,desktop
S002484,U0124,2025-09-16T11:22:05Z,facebook,social,desktop
S000544,U0220,2025-09-16T17:03:48Z,tiktok,paid_social,desktop
S001788,U0158,2025-09-17T00:04:46Z,newsletter,email,mobile
S001851,U0050,2025-09-17T02:33:03Z,google,cpc,mobile
S001935,U0072,2025-09-17T05:56:34Z,google,organic,mobile
S000629,U0051,2025-09-17T08:20:21Z,facebook,paid_social,mobile
S000523,U0239,2025-09-17T13:38:09Z,google,cpc,desktop
S000352,U0146,2025-09-17T17:22:32Z,tiktok,paid_social,desktop
S002521,U0094,2025-09-17T21:26:29Z,google,organic,mobile
S000202,U0237,2025-09-17T22:48:45Z,bing,cpc,desktop
S000858,U0118,2025-09-18T04:01:50Z,google,cpc,mobile
S001351,U0017,2025-09-18T04:06:29Z,referral,referral,desktop
S001656,U0169,2025-09-18T10:02:48Z,google,cpc,mobile
S002248,U0020,2025-09-18T16:21:37Z,google,cpc,mobile
S001307,U0024,2025-09-18T19:02:38Z,google,organic,mobile
S001490,U0026,2025-09-18T20:26:29Z,newsletter,email,desktop
S000573,U0032,2025-09-20T05:39:08Z,google,organic,mobile
S000429,U0058,2025-09-20T08:49:17Z,referral,referral,mobile
S002519,U0090,2025-09-20T15:00:54Z,facebook,paid_social,desktop
S000598,U0151,2025-09-20T17:05:35Z,google,cpc,desktop
S001766,U0089,2025-09-20T18:27:38Z,tiktok,paid_social,mobile
S000724,U0056,2025-09-20T19:15:29Z,google,cpc,tablet
S000204,U0016,2025-09-21T06:21:49Z,google,cpc,desktop
S002573,U0091,2025-09-21T12:03:02Z,direct,(none),desktop
S001135,U0187,2025-09-21T17:17:36Z,google,organic,mobile
S002076,U0007,2025-09-21T21:34:11Z,facebook,social,mobile
S002208,U0014,2025-09-21T23:37:07Z,google,organic,mobile
S002467,U0043,2025-09-22T01:47:05Z,referral,referral,mobile
S001942,U0008,2025-09-22T02:01:25Z,newsletter,email,desktop
S000319,U0052,2025-09-22T04:11:21Z,google,cpc,desktop
S001853,U0192,2025-09-22T08:10:19Z,facebook,paid_social,desktop
S001595,U0222,2025-09-22T08:49:54Z,google,cpc,desktop
S000484,U0101,2025-09-22T21:53:17Z,direct,(none),mobile
S001110,U0201,2025-09-23T03:14:53Z,bing,cpc,mobile
S000792,U0006,2025-09-24T03:07:10Z,bing,organic,mobile
S002092,U0203,2025-09-24T06:03:03Z,referral,referral,desktop
S001364,U0031,2025-09-24T10:22:35Z,direct,(none),desktop
S001408,U0152,2025-09-24T20:43:33Z,facebook,paid_social,desktop
S002217,U0123,2025-09-24T21:04:45Z,tiktok,paid_social,mobile
S002014,U0160,2025-09-25T00:04:22Z,linkedin,paid_social,desktop
S000219,U0124,2025-09-25T00:12:23Z,google,cpc,desktop
S001607,U0153,2025-09-25T02:24:30Z,google,organic,mobile
S001149,U0063,2025-09-25T04:24:30Z,google,organic,desktop
S002517,U0077,2025-09-25T05:02:47Z,google,cpc,mobile
S000464,U0074,2025-09-25T05:55:35Z,facebook,social,mobile
S000981,U0135,2025-09-25T06:43:44Z,google,organic,mobile
S001909,U0101,2025-09-25T10:11:22Z,google,cpc,desktop
S001473,U0149,2025-09-25T18:56:39Z,facebook,paid_social,desktop
S000208,U0002,2025-09-25T20:33:27Z,bing,organic,desktop
S001568,U0160,2025-09-26T16:58:02Z,direct,(none),desktop
S001728,U0060,2025-09-26T21:13:07Z,google,cpc,mobile
S001296,U0166,2025-09-27T02:48:45Z,linkedin,paid_social,desktop
S000915,U0120,2025-09-27T07:53:14Z,facebook,social,mobile
S002165,U0066,2025-09-27T11:32:32Z,google,organic,mobile
S002404,U0226,2025-09-27T12:59:22Z,google,organic,desktop
S001134,U0171,2025-09-27T15:04:48Z,google,organic,desktop
S002428,U0217,2025-09-27T23:44:43Z,linkedin,paid_social,mobile
S001416,U0239,2025-09-28T10:26:37Z,affiliate,affiliate,desktop
S000835,U0075,2025-09-28T15:56:02Z,google,organic,mobile
S001219,U0124,2025-09-28T22:32:37Z,facebook,social,mobile
S002078,U0084,2025-09-29T03:48:03Z,facebook,paid_social,desktop
S002120,U0150,2025-09-29T08:51:51Z,google,organic,mobile
S000990,U0033,2025-09-30T12:43:29Z,direct,(none),tablet
S002518,U0132,2025-09-30T13:42:38Z,newsletter,email,mobile
S000760,U0185,2025-09-30T15:09:59Z,direct,(none),mobile
S002001,U0033,2025-09-30T20:11:21Z,google,cpc,desktop
S000409,U0220,2025-09-30T20:41:08Z,direct,(none),mobile
S000296,U0017,2025-09-30T20:56:50Z,affiliate,affiliate,desktop
S001817,U0211,2025-09-30T22:01:06Z,google,organic,mobile
S001019,U0216,2025-09-30T23:18:58Z,google,organic,tablet
S000386,U0132,2025-10-01T01:09:53Z,direct,(none),desktop
S001842,U0150,2025-10-01T02:57:55Z,google,cpc,mobile
S002235,U0010,2025-10-01T06:08:54Z,google,organic,mobile
S001328,U0201,2025-10-01T07:05:27Z,newsletter,email,desktop
S001073,U0037,2025-10-01T10:12:10Z,tiktok,paid_social,desktop
S001831,U0022,2025-10-01T11:51:55Z,direct,(none),mobile
S000401,U0195,2025-10-02T01:10:21Z,google,organic,tablet
S000577,U0072,2025-10-02T04:53:51Z,google,organic,desktop
S000346,U0133,2025-10-02T14:26:28Z,google,cpc,mobile
S001975,U0063,2025-10-02T14:52:53Z,newsletter,email,mobile
S000365,U0170,2025-10-03T02:10:41Z,google,organic,mobile
S001483,U0089,2025-10-03T13:01:54Z,google,organic,desktop
S000376,U0136,2025-10-03T13:24:56Z,facebook,paid_social,mobile
S001783,U0170,2025-10-03T17:42:43Z,facebook,paid_social,desktop
S001685,U0230,2025-10-04T02:18:35Z,direct,(none),mobile
S001354,U0230,2025-10-04T05:22:06Z,direct,(none),desktop
S001827,U0079,2025-10-04T07:27:31Z,bing,organic,mobile
S000622,U0166,2025-10-04T13:35:02Z,google,organic,desktop
S002111,U0053,2025-10-04T18:02:45Z,bing,cpc,desktop
S001492,U0032,2025-10-04T19:25:29Z,direct,(none),mobile
S002544,U0129,2025-10-05T02:11:17Z,tiktok,paid_social,desktop
S000118,U0092,2025-10-05T07:54:04Z,bing,organic,mobile
S000245,U0090,2025-10-06T06:09:47Z,direct,(none),desktop
S001475,U0215,2025-10-06T06:21:09Z,newsletter,email,mobile
S001455,U0101,2025-10-06T07:41:09Z,google,organic,desktop
S001567,U0018,2025-10-06T09:01:29Z,google,cpc,desktop
S001261,U0213,2025-10-06T11:32:22Z,affiliate,affiliate,mobile
S000187,U0010,2025-10-06T11:56:19Z,google,organic,tablet
S002153,U0188,2025-10-06T12:12:20Z,google,organic,mobile
S001099,U0215,2025-10-06T16:13:21Z,newsletter,email,mobile
S002247,U0133,2025-10-06T17:04:51Z,google,cpc,desktop
S002306,U0217,2025-10-07T00:45:37Z,affiliate,affiliate,mobile
S000992,U0222,2025-10-07T03:23:55Z,tiktok,paid_social,mobile
S001052,U0046,2025-10-07T04:32:52Z,google,organic,desktop
S002028,U0225,2025-10-07T08:36:01Z,google,cpc,desktop
S000612,U0098,2025-10-07T09:34:56Z,google,organic,mobile
S002303,U0043,2025-10-07T16:08:41Z,direct,(none),desktop
S001545,U0241,2025-10-07T20:12:00Z,google,organic,desktop
S002382,U0063,2025-10-08T02:22:52Z,google,organic,desktop
S002542,U0007,2025-10-08T02:48:06Z,tiktok,paid_social,mobile
S001795,U0077,2025-10-08T04:03:38Z,google,organic,tablet
S001166,U0063,2025-10-08T15:06:19Z,google,organic,mobile
S000170,U0238,2025-10-08T17:01:37Z,google,cpc,desktop
S000540,U0149,2025-10-08T21:21:55Z,bing,organic,mobile
S000194,U0138,2025-10-09T02:58:21Z,newsletter,email,desktop
S000912,U0178,2025-10-09T09:11:28Z,direct,(none),desktop
S000825,U0031,2025-10-09T10:07:48Z,google,cpc,desktop
S002426,U0060,2025-10-09T10:26:14Z,google,organic,mobile
S001345,U0085,2025-10-09T17:46:54Z,tiktok,paid_social,mobile
S000950,U0146,2025-10-09T17:59:18Z,google,cpc,mobile
S002259,U0107,2025-10-09T18:31:39Z,direct,(none),desktop
S000734,U0154,2025-10-10T02:54:48Z,newsletter,email,mobile
S001901,U0126,2025-10-10T10:05:04Z,direct,(none),mobile
S001092,U0046,2025-10-10T16:48:26Z,affiliate,affiliate,desktop
S001187,U0030,2025-10-10T17:35:50Z,facebook,paid_social,desktop
S002287,U0035,2025-10-10T21:24:25Z,facebook,social,mobile
S001008,U0005,2025-10-11T01:59:19Z,tiktok,social,mobile
S001236,U0072,2025-10-11T06:03:11Z,google,cpc,mobile
S001010,U0074,2025-10-11T07:36:48Z,bing,cpc,desktop
S001732,U0197,2025-10-11T13:49:07Z,newsletter,email,desktop
S001829,U0037,2025-10-11T16:16:37Z,affiliate,affiliate,mobile
S002119,U0211,2025-10-12T01:35:27Z,facebook,social,desktop
S001181,U0032,2025-10-12T04:13:48Z,direct,(none),mobile
S001235,U0187,2025-10-12T05:06:20Z,google,cpc,desktop
S001623,U0061,2025-10-12T05:50:44Z,google,cpc,desktop
S000744,U0107,2025-10-12T06:26:17Z,direct,(none),mobile
S001265,U0176,2025-10-12T08:40:24Z,direct,(none),desktop
S001689,U0239,2025-10-12T10:17:06Z,newsletter,email,mobile
S002044,U0122,2025-10-12T12:05:49Z,google,cpc,mobile
S001985,U0205,2025-10-12T13:49:27Z,referral,referral,mobile
S002003,U0169,2025-10-12T17:01:03Z,facebook,paid_social,desktop
