,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
13,29470,Ethena USDe,USDe,ethena-usde,295,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,6304778696.791329,6304778696.791329,True,6298072500.0,,14,,,,2026-02-15T16:15:00.000Z,0.9989363311367995,59745696.83465314,-22.246,0.01077307,-0.02793029,0.02147416,-0.08096387,-0.0245426,0.04403907,6298072500.002182,0.2668,6298072500.0,,2026-02-15T16:15:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2026-02-15 17:17:21.828622
14,1975,Chainlink,LINK,chainlink,2212,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'privacy', 'interoperability', 'iot', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'tron-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'xdc-ecosystem', 'metisdao-ecosystem', 'velas-ecosystem', 'doge-chain-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'kadena-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'paal-ecosystem', 'blast-ecosystem', 'atomicals-ecosystem', 'move-vm', 'eigenlayer-ecosystem', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'ronin-ecosystem', 'astar-ecosystem', 'core-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'opbnb-ecosystem', 'scroll-ecosystem', 'merlin-ecosystem', 'b²-network-ecosystem', 'mode-ecosystem', 'world-chain-mainnet-ecosystem', 'made-in-america', 'btcfi', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'bonk-fun-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'bittensor-ecosystem', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'bera-chain-ecosystem', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'fraxtal-ecosystem', 'monad-ecosystem', 'hashkey-chain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem', 'x402-ecosystem', 'iso-20022']",1000000000.0,708099970.4525867,1000000000.0,False,8819265420.56,,15,,,,2026-02-15T16:16:00.000Z,8.819265420559113,652890137.1345139,10.9496,-0.72133181,-2.22953779,-0.71736889,-34.66621777,-29.23325985,-34.54397944,6244921583.711427,0.2645,8819265420.56,,2026-02-15T16:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2026-02-15 17:17:21.828622
0,1,Bitcoin,BTC,bitcoin,12561,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19989865.0,19989865.0,False,1378335171829.96,,1,,,,2026-02-15T16:16:00.000Z,68951.699865405,36243742267.26509,-3.7575,-0.27557983,-0.93067323,-2.86311802,-27.11584124,-20.65059324,-25.92933054,1378335171829.964,58.3794,1447985697173.51,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:18:22.172871
1,1027,Ethereum,ETH,ethereum,11567,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120692457.89999667,120692457.89999667,True,241771728442.55,,2,,,,2026-02-15T16:16:00.000Z,2003.2049446112028,25379169008.44842,45.2488,-0.40890262,-3.52328531,-4.98472713,-38.6061682,-30.32781234,-34.71604773,241771728442.55276,10.2402,241771728442.55,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:18:22.172871
2,825,Tether USDt,USDT,tether,171236,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,183755310128.52243,187964839850.83615,True,187879516609.53,,3,,,,2026-02-15T16:16:00.000Z,0.9995460680764722,85515759383.79375,14.8515,-0.00149349,0.00080808,0.01341313,0.0133648,-0.12917696,0.02585021,183671897727.13733,7.7794,187879516609.53,,2026-02-15T16:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-02-15 17:18:22.172871
3,52,XRP,XRP,xrp,1798,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60917315351.0,99985721048.0,False,151418061632.99,,4,,,,2026-02-15T16:17:00.000Z,1.5143968563301415,5690494898.3572645,134.5248,-1.56477281,3.56214266,5.18471563,-25.68413156,-20.45906059,-30.56023646,92252990863.62627,3.9074,151439685633.01,,2026-02-15T16:17:00.000Z,,,,,,2026-02-15 17:18:22.172871
4,1839,BNB,BNB,bnb,3134,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136359284.48,136359283.32,136359283.32,False,84427802616.93,,5,,,,2026-02-15T16:17:00.000Z,619.1569841181819,1465086188.679392,-6.4149,-0.47199333,-2.22395405,-3.73906083,-33.29096046,-27.21815544,-31.47314534,84427802616.9279,3.5759,84427803335.15,,2026-02-15T16:17:00.000Z,,,,,,2026-02-15 17:18:22.172871
5,3408,USDC,USDC,usd-coin,37475,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,73577665840.58257,73577665840.58257,False,73581477667.12,,6,60901219650.23,60904374750.115295,,2026-02-15T16:16:00.000Z,1.0000518068423492,8312652430.403639,-2.2893,0.00093278,0.02452092,0.01207136,0.02900718,-0.0768551,0.00542396,73581477667.11719,3.1165,73581477667.12,,2026-02-15T16:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-02-15 17:18:22.172871
6,5426,Solana,SOL,solana,1089,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,567957551.4309566,620391073.2815809,True,54139186761.0,,7,525236893.3,45835440716.00092,,2026-02-15T16:16:00.000Z,87.26622463251273,3942756135.3517637,29.2365,-0.33204816,-0.14552053,-0.2167822,-38.22481797,-31.03726778,-35.21586613,49563511264.90576,2.0993,54139186761.0,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:18:22.172871
7,1958,TRON,TRX,tron,1299,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94724706614.9391,94724706294.7143,True,26569187670.96,,8,94667886298.43,26553250317.301517,,2026-02-15T16:17:00.000Z,0.2804884671618773,451591356.85952365,-12.9525,0.05744377,-0.92693463,0.38392433,-8.15291409,0.2846994,-4.14121771,26569187760.78281,1.1253,26569187670.96,,2026-02-15T16:17:00.000Z,,,,,,2026-02-15 17:18:22.172871
8,74,Dogecoin,DOGE,dogecoin,1401,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168752233126.57907,168752233126.57907,True,18029254210.33,,9,,,,2026-02-15T16:16:00.000Z,0.1068386111181753,2979846915.5473995,212.1284,-1.77664797,3.05882161,9.48788722,-21.49604471,-17.1449744,-31.69827426,18029254210.33424,0.7636,18029254210.33,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:18:22.172871
9,1831,Bitcoin Cash,BCH,bitcoin-cash,1137,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19995196.875,19995196.875,False,11122413966.83,,10,,,,2026-02-15T16:16:00.000Z,556.2542862847829,315337824.317244,-41.2555,-0.35248445,-1.58663429,5.09944299,-7.49491065,0.49460386,11.49612141,11122413966.826847,0.4711,11681340011.98,,2026-02-15T16:16:00.000Z,,,,,,2026-02-15 17:18:22.172871
10,2010,Cardano,ADA,cardano,1681,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,36066145196.64397,44994539820.15453,False,12729389422.27,,11,37997904336.0,10749973740.2889,,2026-02-15T16:17:00.000Z,0.28290964799614365,699433126.3480864,69.8537,-1.07252576,-1.04390481,3.81541743,-25.91308226,-25.43040688,-39.97648697,10203460442.160353,0.4322,12730934159.83,,2026-02-15T16:17:00.000Z,,,,,,2026-02-15 17:18:22.172871
11,32196,Hyperliquid,HYPE,hyperliquid,238,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",961671487.86,259277557.4437796,958388465.8146007,False,29523106497.47,,12,333931719.0,10286749115.39045,,2026-02-15T16:16:00.000Z,30.804947628800875,215323787.977659,-2.3939,-0.50487144,-1.27020438,-2.46950784,24.06760416,15.51277169,-17.13941621,7987031578.379041,0.3383,29624239819.64,,2026-02-15T16:16:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2026-02-15 17:18:22.172871
12,3957,UNUS SED LEO,LEO,unus-sed-leo,67,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,921353012.9,985239504.0,False,8308234751.14,,13,,,,2026-02-15T16:17:00.000Z,8.43270566944341,1044064.6717296,78.4491,-0.02515484,-2.74321434,2.22387073,-5.41146085,18.21327307,-7.44631643,7769498775.440597,0.3291,8308234751.14,,2026-02-15T16:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2026-02-15 17:18:22.172871
